model,error_type,price_pp_per_edge,price_lo,price_hi,r2,k_measured,budget_pp,fit_intercept,breakeven_k,breakeven_lo,breakeven_hi,warning
gpt-4.1-nano,ED (missing edge),1.95,0.49,3.5,0.81,3,1.92,72.01,0.45,-4.16,2.64,
gpt-4.1-nano,FE (spurious edge),3.74,0.73,6.59,0.84,2,1.92,72.12,0.27,-3.67,1.95,
gpt-4.1-nano,DR (reversed),2.14,0.69,3.93,0.83,3,1.92,71.86,0.34,-3.57,2.64,
gpt-4.1-mini,ED (missing edge),2.68,0.72,3.82,0.91,3,10.74,79.32,4.06,2.87,10.32,
gpt-4.1-mini,FE (spurious edge),1.42,-1.4,3.97,0.9,2,10.74,79.44,,,,CI do doc chua tach khoi 0
gpt-4.1-mini,DR (reversed),4.68,3.41,6.79,0.93,3,10.74,77.88,2.02,1.0,2.66,
gpt-4.1,ED (missing edge),3.46,1.89,4.74,0.87,3,9.87,77.53,2.41,1.12,3.53,
gpt-4.1,FE (spurious edge),2.43,-1.84,2.54,0.93,2,9.87,79.46,,,,CI do doc chua tach khoi 0
gpt-4.1,DR (reversed),4.19,2.68,5.82,0.88,3,9.87,77.28,1.93,0.74,2.71,
