lexicon,group,cond,route,gold,reference,harm_pp,ci_lo,ci_hi,p_boot,p_min_seeds,p_max_seeds,n_draws,n_items
KEEP,answer changed,all,no path,yes,RAW,-31.95,-37.33,-26.52,0.0005,0.0005,0.0005,457,258
KEEP,answer changed,all,backdoor,all,ORACLE,-1.45,-7.0,4.24,0.639,0.613,0.657,115,91
KEEP,answer changed,all,backdoor,all,RAW,-6.38,-12.75,0.29,0.0595,0.0535,0.0595,115,91
KEEP,answer changed,all,backdoor,yes,ORACLE,-6.21,-16.13,3.51,0.226,0.205,0.2295,59,47
KEEP,answer changed,all,backdoor,yes,RAW,-17.51,-26.11,-8.93,0.0005,0.0005,0.0005,59,47
KEEP,answer changed,all,backdoor,no,ORACLE,3.57,-1.21,9.26,0.19,0.19,0.219,56,44
KEEP,answer changed,all,backdoor,no,RAW,5.36,-1.85,13.69,0.162,0.162,0.186,56,44
KEEP,answer changed,all,all,yes,ORACLE,-27.68,-32.21,-23.13,0.0005,0.0005,0.0005,516,259
KEEP,answer changed,all,all,yes,RAW,-30.3,-35.41,-25.1,0.0005,0.0005,0.0005,516,259
KEEP,answer changed,all,all,no,ORACLE,3.57,-1.21,9.26,0.19,0.19,0.219,56,44
KEEP,answer changed,all,all,no,RAW,5.36,-1.85,13.69,0.162,0.162,0.186,56,44
PSEUDO,estimand kept,all,all,all,ORACLE,0.47,-4.36,5.14,0.8415,0.83,0.851,107,107
PSEUDO,estimand kept,all,all,all,RAW,-1.25,-8.72,6.39,0.753,0.7405,0.7565,107,107
PSEUDO,estimand kept,DR_k1,all,all,ORACLE,0.47,-4.36,5.14,0.8415,0.83,0.851,107,107
PSEUDO,estimand kept,DR_k1,all,all,RAW,-1.25,-8.72,6.39,0.753,0.7405,0.7565,107,107
PSEUDO,estimand kept,all,backdoor,all,ORACLE,0.47,-4.36,5.14,0.8415,0.83,0.851,107,107
PSEUDO,estimand kept,all,backdoor,all,RAW,-1.25,-8.72,6.39,0.753,0.7405,0.7565,107,107
PSEUDO,estimand kept,all,backdoor,yes,ORACLE,2.61,-3.59,8.82,0.4485,0.403,0.4485,51,51
PSEUDO,estimand kept,all,backdoor,yes,RAW,17.65,9.15,26.14,0.0005,0.0005,0.0005,51,51
PSEUDO,estimand kept,all,backdoor,no,ORACLE,-1.49,-8.33,5.06,0.6965,0.6815,0.7195,56,56
PSEUDO,estimand kept,all,backdoor,no,RAW,-18.45,-29.17,-8.33,0.0005,0.0005,0.0005,56,56
PSEUDO,estimand kept,all,all,yes,ORACLE,2.61,-3.59,8.82,0.4485,0.403,0.4485,51,51
PSEUDO,estimand kept,all,all,yes,RAW,17.65,9.15,26.14,0.0005,0.0005,0.0005,51,51
PSEUDO,estimand kept,all,all,no,ORACLE,-1.49,-8.33,5.06,0.6965,0.6815,0.7195,56,56
PSEUDO,estimand kept,all,all,no,RAW,-18.45,-29.17,-8.33,0.0005,0.0005,0.0005,56,56
PSEUDO,"estimand changed, answer kept",all,all,all,ORACLE,2.22,-0.18,4.55,0.0725,0.0615,0.073,827,404
PSEUDO,"estimand changed, answer kept",all,all,all,RAW,2.82,-0.12,5.9,0.0585,0.055,0.066,826,403
PSEUDO,"estimand changed, answer kept",DR_k1,all,all,ORACLE,-0.94,-4.24,2.31,0.5875,0.544,0.5875,267,267
PSEUDO,"estimand changed, answer kept",DR_k1,all,all,RAW,5.64,1.32,9.96,0.009,0.009,0.013,266,266
PSEUDO,"estimand changed, answer kept",DR_k2,all,all,ORACLE,2.21,-0.59,5.29,0.1345,0.1225,0.1385,309,309
PSEUDO,"estimand changed, answer kept",DR_k2,all,all,RAW,1.62,-2.05,5.29,0.3915,0.38,0.396,309,309
PSEUDO,"estimand changed, answer kept",DR_k3,all,all,ORACLE,5.58,1.86,9.43,0.0025,0.0015,0.0055,251,251
PSEUDO,"estimand changed, answer kept",DR_k3,all,all,RAW,1.33,-2.26,4.85,0.4925,0.4605,0.4925,251,251
PSEUDO,"estimand changed, answer kept",all,no path,all,ORACLE,4.34,1.09,7.59,0.0105,0.007,0.0135,476,255
PSEUDO,"estimand changed, answer kept",all,no path,all,RAW,-1.33,-4.01,1.35,0.3205,0.3205,0.335,476,255
PSEUDO,"estimand changed, answer kept",all,no path,no,ORACLE,4.34,1.09,7.59,0.0105,0.007,0.0135,476,255
PSEUDO,"estimand changed, answer kept",all,no path,no,RAW,-1.33,-4.01,1.35,0.3205,0.3205,0.335,476,255
PSEUDO,"estimand changed, answer kept",all,backdoor,all,ORACLE,-0.66,-3.62,2.37,0.6525,0.6355,0.6595,351,250
PSEUDO,"estimand changed, answer kept",all,backdoor,all,RAW,8.48,2.95,13.67,0.003,0.0005,0.004,350,249
