cond,model,KEEP_pct,KEEP_len,KEEP_n,PERMUTE_pct,PERMUTE_len,PERMUTE_n,SYMBOL_pct,SYMBOL_len,SYMBOL_n,PSEUDO_pct,PSEUDO_len,PSEUDO_n
RAW,gpt-4.1-nano,2.3,890,174,13.2,1311,174,0.0,871,174,0.6,928,174
RAW,gpt-4.1-mini,3.4,730,174,19.0,1054,174,1.1,603,174,1.7,645,174
RAW,gpt-4.1,0.0,611,174,7.5,727,174,0.6,531,174,1.1,584,174
ORACLE,gpt-4.1-nano,4.0,1374,174,11.5,1831,174,0.6,1318,174,1.1,1368,174
ORACLE,gpt-4.1-mini,4.0,1223,174,19.5,1683,174,1.7,1099,174,1.1,1125,174
ORACLE,gpt-4.1,2.3,974,174,8.6,1211,174,1.7,935,174,0.0,941,174
