query_group,sample,lexicon,cond,delta_pp,ci_lo,ci_hi,p_boot,n_items,survives_BH
backadj,price400,PSEUDO,PROSE,18.91,10.45,27.36,0.0005,67,True
backadj,price400,PSEUDO,DR_k1,1.49,-10.95,13.93,0.8185,67,False
backadj,price400,PSEUDO,DR_k2,-8.46,-18.91,1.99,0.1165,67,False
backadj,price400,PSEUDO,DR_k3,-13.43,-23.4,-2.99,0.0095,67,True
backadj,price400,PSEUDO,ED_k1,15.92,6.47,25.37,0.003,67,True
backadj,price400,PSEUDO,ED_k2,9.45,-0.5,19.9,0.064,67,False
backadj,price400,PSEUDO,ED_k3,-1.49,-11.94,8.96,0.771,67,False
backadj,price400,PSEUDO,FE_k1,32.61,21.01,44.2,0.0005,46,True
backadj,price400,PSEUDO,FE_k2,20.72,5.41,35.14,0.0085,37,True
rung1_arith,price400,PSEUDO,ORACLE,0.38,-3.01,3.63,0.8135,133,False
rung1_arith,price400,PSEUDO,PROSE,0.88,-2.13,3.88,0.5605,133,False
rung1_arith,price400,PSEUDO,DR_k1,1.75,-1.5,5.01,0.27,133,False
rung1_arith,price400,PSEUDO,DR_k2,0.75,-2.26,3.76,0.6315,133,False
rung1_arith,price400,PSEUDO,DR_k3,0.13,-2.63,2.88,0.9335,133,False
rung1_arith,price400,PSEUDO,ED_k1,0.0,-3.38,3.51,0.9775,133,False
rung1_arith,price400,PSEUDO,ED_k2,0.38,-2.88,3.88,0.8305,133,False
rung1_arith,price400,PSEUDO,ED_k3,1.38,-1.01,3.76,0.2865,133,False
rung1_arith,price400,PSEUDO,FE_k1,-0.7,-5.26,4.04,0.78,95,False
rung1_arith,price400,PSEUDO,FE_k2,1.75,-3.95,7.46,0.5345,76,False
