nhom,phep_kiem,ma,DiD_pp,ci_lo,ci_hi,p,xac_lap
rung1_arith,tieu de   RAW  vs ORACLE,A,1.23,-4.79,7.45,0.7865,khong
rung1_arith,cau lenh  RAW  vs RAW_INSTR,B,1.21,-3.59,5.99,0.722,khong
rung1_arith,do thi    RAW_INSTR vs ORACLE,C,0.0,-6.67,7.01,1.0,khong
identify,tieu de   RAW  vs ORACLE,A,2.08,-13.54,18.75,0.8205,khong
identify,cau lenh  RAW  vs RAW_INSTR,B,-12.63,-29.47,4.21,0.154,khong
identify,do thi    RAW_INSTR vs ORACLE,C,14.74,0.0,29.79,0.06,khong
causal,tieu de   RAW  vs ORACLE,A,12.71,2.11,23.11,0.019,co
causal,cau lenh  RAW  vs RAW_INSTR,B,0.0,-6.36,6.58,1.0,khong
causal,do thi    RAW_INSTR vs ORACLE,C,13.48,4.27,22.95,0.003,co
